Nama Produk,Nomor Izin Edar,Produsen / Pendaftar,Kandungan BKO
Daun Madu,TR No.993256492 / TR. 003207081,"PJ Daun Madu Alami, Jateng, Indonesia","Deksametason, Kafein, Paracetamol"
Hercules X,Dep Kes RI No. TR 064227346,PJ Strong King,"Kafein, Sildenafil"
Tusuk Jari Asam Urat,DEPKES RI NO TR995200721,UD AM Jaya Jawa Timur,"Natrium Diklofenak, Parasetamol"
Gemuk Sehat 151,TR003200761,PJ. Jaya Sari Guna Sakti,Parasetamol
Gemuk Sehat-Flu Tulang Asam Urat,DEPKES RI NO TR003200897,Jamu Jawa Solo,Parasetamol
Sari Buah Tin,TR233434231,PJ Bukit Tursina,Parasetamol
Serbuk Guna Sehat Encok GS No. 2,TR103215661,PJ Guna Sehat,Parasetamol
Sari Buah Naga Kapsul,TR993298384,PJ Nagamas Makmur,Parasetamol
Sari Binahong,TR879265203,PJ. Jaya Sukses – Jakarta,Parasetamol
"Ramuan Madura Asam Urat, Flu Tulang, Pegal Linu, Sakit Pinggang, Rheumatik, Kolesterol",POM NO TR. 023023493,PJ Jaya Sehat,Parasetamol
Ekstrak Buah Cherry,TR175088223,"PJ Jaya Mustika, Malang Indonesia",Parasetamol
Slim Strong,-,-,"Parasetamol, Sibutramin"
Jamu Urat Kuda Formula Plus,TR No 003407355,PJ Kuda Mas,"Parasetamol, Sildenafil"
Ramuan Urat Naga Super,-,-,"Parasetamol, Sildenafil Sitrat"
Beauslim,-,-,Sibutramin HCl
U-One Slimming Herbal,-,-,Sibutramin HCl
Moya Slimming,TR867011069781,-,Sibutramin HCl
AMK Madu Tonik Cap Kuda,TR226004231,"CV Agung Mandiri Kuat, Kebumen",Sildenafil Sitrat
Power Sex,TR. 003 223 465,"PJ KUAT SENTOSA, Madura, Jatim",Sildenafil Sitrat
Urat Naga,Depkes TR003206871,Pj. Naga Mas,Sildenafil Sitrat
Singa Barong,TR. NO.183311326,"PT Krisna Duta Atmodjo Jakarta, Indonesia",Sildenafil Sitrat
Strong Man Coffe Kopi Jantan Semulajadi,-,"Packed by : Worldgate vision Beverage Sdn Bhd, Malaysia  Distribution : Yongfatt Vision Trading",Sildenafil Sitrat
Jakarta Bandung Plus,TR103216168,"PD Jamu Moro Sehat, Jawa Tengah, Indonesia",Sildenafil Sitrat
Kopi Jantan +++,Dinkes PIRT 312327302031,Indo Sehat Abadi Indonesia,Sildenafil Sitrat
Kopi Harimau Hari Hari Mau,-,"Distributor: Max Mur Trading, Kuala Lumpur",Sildenafil Sitrat
Natural Herbs Coffee Kopi Panggung Al-Ambiak,-,"Ambiak Enterprise Sdn, Bhd. Malaysia",Sildenafil Sitrat
RUBE,TR203241591,CV GP Mandiri - Kab. Banyumas,"Sildenafil, Tadalafil"
DOXBA,TR213393421,CV GP Mandiri - Kab. Banyumas,"Sildenafil, Tadalafil"
DIENX CO,TR203241711,CV GP Mandiri - Kab. Banyumas,"Sildenafil, Tadalafil"
Jhi On,TR223024611,CV GP Mandiri - Kab. Banyumas,"Sildenafil, Tadalafil"
Cula Mas Asli,TR043111982,PJ Inti Alam Malang,Tadalafil
Urat Madu Extra Ginseng,DEP KES RI NO: TR164459772,PJ Air Madu Magelang,Verdenafil HCl
Beruang Emas,TR053899672,PJ Beruang Emas,Yohimbin HCl
Osagi Gajah Kuat,TR No.033226181,"PJ Sinar Manjur, Jateng Indonesia","Asam Mefenamat, Deksametason, Paracetamol, Prednisolon"
Super Sehat Gemuk Sehat 1,BH. NO. 10485-a/BH/VI Tgl.09-8 99,PJ. SUPER SEHAT,Deksametason
New Guna Sari Gemuk Sehat,DEPKES RI NO.,PJ. GUNA SARI,Deksametason
Kembar Putih,TR203612821,"CV Kembar Sejati, Banyuwangi",Deksametason
Jamu Jawa Asli Dua Singa (botol kaca),TR226020471,"CV. Rochman Jaya, Banyuwangi",Deksametason
Racik Remari,TR133668191,"CV Putri Sakti Husada, Banyuwangi",Deksametason
Jamu Racik Special Jawa Asli Tangkur Ginseng - Pegel Linu (Label Hitam),PerMenKes No: 492/MENKES/PER/IV/2010,"Perusahaan Jamu CV. Agung Prima, Solo -Indonesia",Deksametason
Sirandi (Botol Kaca),TR213632571,"CV Herbal Mulya, Banyuwangi","Deksametason, Fenilbutason, Parasetamol"
Redak-Sam,TR No.053348358,PJ URI Farmindo,"Deksametason, Fenilbutazon, Natrium Diklofenak, Parasetamol"
Jamu Jawa Asli Kembar Sari,TR203606181,"CV Kembar Sejati, Banyuwangi","Deksametason, Ibuprofen"
Jamu Jawa Asli Dua Singa (botol plastik),TR203689781,"CV. Rochman Jaya, Banyuwangi","Deksametason, Ibuprofen"
Sirandi (Botol Plastik),TR213624761,"CV Herbal Mulya, Banyuwangi","Deksametason, Parasetamol"
Muntalinu,TR003202841,PJ. Eyang Sepuh Magelang,"Deksametason, Parasetamol"
Jamu Racik Special Jawa Asli Tangkur Ginseng - Asam Urat (Label Merah),PerMenKes No: 492/MENKES/PER/IV/2010,"Perusahaan Jamu CV. Agung Prima, Solo -Indonesia","Deksametason, Parasetamol"
Godong Ijo,TR053348245,"PJ AIR MADU, Magelang, Indonesia","Deksametason, Parasetamol"
Madu Manggis,TR.053542603,"CV CIPTA UTAMA, Solo, Jawa Tengah","Deksametason, Parasetamol"
Tricapect,TR052350941,"PT Sinar Herba Radix, Tangerang","Efedrin HCl, Pseudoefedrin HCl"
Tou Gubao,-,Dahetang Medical Taiwan,Fenilbutason
Obat Gatal-Gatal Cap Cobra,TR993205571,PJ Ragil Sentosa,Klorfeniramin Maleat
Tang Bing Yao,-,Tidak terdapat informasi pada kemasan,Metformin
Asam Urat,Depkes. RI. TR 995200721,UD AM Jaya,Parasetamol
Guci Emas,TR11082600026,PJ Herbalindo Jaya Indonesia,Parasetamol
New Cobra Mas,TR053303551,PT Ragil Sukses,Parasetamol
Pemikat,Dep.Kes.RI.NOTR003203171,UD AM Jaya,Parasetamol
Super Kecetit Asam Urat,Dep. Kes RI. TDP. No. 110 826. 0074,PJ Muncul Jaya,Parasetamol
Xian Ling,TI051749334,Guizhou Tong Jitang Pharmaceutica Co. Ltd.,Parasetamol
Bintang Dua Mustika Dewa,TR003200581,PJ Bintang Dua -Kalipanas,Piroksikam
Slim By Mimo,-,Tidak terdapat informasi pada kemasan,"Sibutramin Hidroklorida, N-Desmetyl Sibutramin"
Ramping Herbal Alami RHA,-,Tidak terdapat informasi pada kemasan,"Sibutramin Hidroklorida, Sibutramin Hidroklorida"
Pinky,-,Tidak terdapat informasi pada kemasan,"Sibutramin Hidroklorida, Teofilin"
Africa Black Ant,TR883908922,PT Herbalcare Laboratories,Sildenafil Sitrat
Beruang Putih,TR053303551,PJ Surya Gemilang-Jakarta,Sildenafil Sitrat
Greeng Jos Kopi BAPAK,TR054348667,PT Herbal Farm.S-Jakarta,Sildenafil Sitrat
Hammer of Thor,-,Tidak terdapat informasi pada kemasan,Sildenafil Sitrat
Herb Viagra,-,Hong Kong Jingongfu Biotechnology Co. Ltd.,Sildenafil Sitrat
Kaplet C-100,-,Tidak terdapat informasi pada kemasan,Sildenafil Sitrat
Kopi Cethot,TR993299801,PJ Surya Mandiri,Sildenafil Sitrat
Kopi Rempah Grenk,TR053563947,PT. Iztana Zawiyah- Jakarta,Sildenafil Sitrat
Kuat Lelaki Suromadu 100 ml,TR053651371,UD Sido Mulyo,Sildenafil Sitrat
Lalake,TR103609301,Tidak terdapat informasi pada kemasan,Sildenafil Sitrat
Metal -X,TR003407351,PJ Karomah Wali Jakarta,Sildenafil Sitrat
Obat Kuat dan Tahan Lama Urat Jantan,TR043374561,PJ Sungai Mas-Makassar,Sildenafil Sitrat
Ramuan Pak Kumis 120 ml,Dep.Kes.RI.164/PSDK/BA-IKOT/VIII/2010,CV Sumber Sehat Lestari,Sildenafil Sitrat
Tangkur Ganas,-,PJ Putra Perkasa- Tangerang,Sildenafil Sitrat
Urat Madu Black,TR2011052023,PJ Air Madu-Magelang,Sildenafil Sitrat
Viagra Gold,-,Hong Kong Jingongfu Biotechnology Co. Ltd.,Sildenafil Sitrat
GS Serbuk Guna Sehat,-,Tidak terdapat informasi pada kemasan,Siproheptadin Hidroklorida
Obat Sakit Gigi Kombinastan,-,Tidak terdapat informasi pada kemasan,"Antalgin, Deksametason, Klorfeniramin Maleat, Parasetamol,"
Jamu Daun Dewa Pegel Linu,-,"Rumah Produksi Jamu ""Daun Dewa""",Asam Mefenamat
"Jamu ""Daun Dewa"" Asam Urat",TR043641511,CV Rizka Tegar Mulia,"Asam Mefenamat, Piroksikam"
Wantong Pegel Linu,TR083275091,Herbalindo SM,Deksametason
Pegal Linu Raja Madu Klanceng Plus,TR213643401,CV Herbal Mulya-Banyuwangi,"Deksametason, Fenilbutason"
Samuraten,TR043230731,PJ Akar Manggis-Jateng,"Deksametason, Parasetamol"
Gaining Weight Capsule,-,Sanming Pharmaceutical Factory Fujian- China,"Deksametason, Siproheptadin Hidroklorida"
Delcingfungsan Powder,TR102219591,PT Citra Deli Kreasitama- Tangerang,"Efedrin Hidroklorida, Pseudoefedrin Hidroklorida"
Delias (Ke Cie Siao Chuan Yen),TR042541471,PT Citra Deli Kreasitama- Tangerang,"Efedrin Hidroklorida, Pseudoefedrin Hidroklorida"
Gan Mao Tong Kaplet,TR212506811,PT Citra Deli Kreasitama- Tangerang,"Efedrin Hidroklorida, Pseudoefedrin Hidroklorida"
Pi Yen Pian,-,"Wuhan Zhonglian Pharmaceutical Co., Ltd","Efedrin Hidroklorida, Pseudoefedrin Hidroklorida"
Jawa Sehat,TR 163 698 571,"CV. Santoso, Banyuwangi","Fenilbutason, Parasetamol"
Burn 7,-,,Fenolftalein
Genesis Ultra Slim Gold,-,,"Fenolftalein, Sibutramin"
Imperia Elita Vitaccino Coffee Dietary Supplements,-,,"Fluoxetin, Sibutramin"
Livtone,-,,"Fluoxetin, Sibutramin"
ODD Bodha,-,-,Furosemid
Slimming product 2,-,,Furosemid
JKReks,TR 193 327 751,"PT. Akar Pinang Indonesia, Kuningan","Hidroksihomosildenafil, Hidroksithiohomosildenafil"
Lig-On,TR 183 319 721,"PT. Akar Pinang Indonesia, Kuningan","Hidroksihomosildenafil, Hidroksithiohomosildenafil"
Go-Rilla Formula,-,,Hidroksithiohomosildenafil
Maximan,TR 183 322 451,"PT. Sarakamandiri Semesta, Bogor Distributor: PT. Pelangi Indah Lestari",Hidroksithiohomosildenafil
Pink Pussycat,-,,Hidroksithiohomosildenafil
Gold Lion Gold Label 3000 mg,-,,"Hidroksithiohomosildenafil, Sildenafil"
Methyldrene 25,-,,"Efedrin Hidroklorida, Kafein, Yohimbin"
Perkasa Wali,TR 183 220 481,"PT. Jatim Herbal Perkasa , Ngawi","Kafein, Sildenafil Sitrat"
All Nite Long,-,,L-dopa
Masterbrain Kit Workout Supplement,-,,L-dopa
Cholestene,-,,Lovastatin
Huatuo Plaster,-,Fisherman Pharm. Co. Ltd.,Metil Salisilat
Lipstick 12000 mg,-,,Mitraginin
Red Shoe 1200 mg,-,,Mitraginin
Rhino XL 75K,-,,Mitraginin
Gan Mao Tong Tablet (Tanpa Izin Edar),-,Guangzhou Baiyunshan Mingxing Pharmacy,Natrium Diklofenak
Bling Bling Sister BBS Superman capsules,-,,"Orlistat, Sibutramin"
Away Tablet,-,"Guizhou Industries Sdn Bhd, Kuala Lumpur",Parasetamol
Bintang Dua Mustika Dewa,TR 003 200 581,"PJ. Bintang Dua, Kalipanas",Parasetamol
Jamu Tradisional Kumbang Mas,TR 943 274 671,"PJ. Tradisional, Solo",Parasetamol
Min Yar Zar- Swel Son Say,-,Min yar zar Traditional medicine production,Parasetamol
Rempah Alam Papua Buah Merah,TR 003 731 972,PJ. Rempah Alam Papua Indonesia,Parasetamol
Sari Kulit Manggis Asam Urat,TR 993 299 572,"PJ. Maju Jaya, Jawa Tengah",Parasetamol
Grain German Shepherd tablets,-,,"Parasetamol, Sildenafil"
Arizon,TR 183 319 741,"PT. Akar Pinang Indonesia, Kuningan","Parasetamol, Sildenafil Sitrat, Tadalafil"
Nitraflex,-,,Rauwolfia
Nitraflex + C,-,,Rauwolfia
Thermoxyn Weight Loss,-,,Rauwolfia
Nutriline Cleansline,-,Nutriline Concept Sdn. Bhd.,Senosida
Rozell Detox,-,,Senosida
Xsliim Botanical Beverage Mix Mango Powder with Garcinia Cambogia & Aloe Vera Extract,-,Grand U Empire,"Senosida, Sibutramin"
2 Weeks,-,,Sibutramin
365 Skinny High Intensity,-,,Sibutramin
AB SLIM Slim-cellulose Capsule,-,,Sibutramin
Choco Lose for Fitness,-,,Sibutramin
Clinic K,-,,Sibutramin
Flash Slim,-,,Sibutramin
Freaky Fitz,-,,Sibutramin
Fruta Planta,-,,Sibutramin
Kimiso Dark Chocolate,-,,Sibutramin
Leisure Capsule,-,,Sibutramin
Macha Cocoa,-,,Sibutramin
Miss Slim,-,,Sibutramin
Nutriline Thinsline,-,Nutriline Concept Sdn. Bhd.,Sibutramin
RO Slim Booster,-,,Sibutramin
Sislin 10 Krasne Capsule,-,,Sibutramin
Slimming product 1,-,,Sibutramin
Super Slim Green Lean Body capsules,-,,Sibutramin
Vy & Tea,-,,Sibutramin
Wholly Fitz,-,,Sibutramin
ODD Booster,-,-,Sibutramin Hidroklorida
RD Pelangsing Herbal Original (kemasan botol bulat),-,,Sibutramin Hidroklorida
RD Pelangsing Herbal Original (kemasan botol segi empat),-,,Sibutramin Hidroklorida
Fit Fit Day,-,,"Sibutramin, Fluoxetine dan Orlistat"
